STORE NUMBER,Store Name,UPC,SKU,Name,Manufacturer,Segment,Yes/No
476,FOOD MAXX,8066095765,,MODELO ESPECIAL 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354400209,,MODELO ESPECIAL 6/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354495061,,MODELO NEGRA 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,*
476,FOOD MAXX,8066095787,,MODELO NEGRA 12/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,8066095785,,MODELO NEGRA 6/12B,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354400165,,MODELO ORO 1/24C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,3354400162,,MODELO ORO 12/12C,CONSTELLATION BRANDS,MEXICAN IMPORT,Yes
476,FOOD MAXX,2509359473,,MORGAN TERRITORY HOPTOMIC DOUBLE IPA 4/16C,MORGAN TERRITORY BREWING,CRAFT,*
476,FOOD MAXX,2509359486,,MORGAN TERRITORY MIST CONNECTION SEASONAL HAZY IPA 4/16C,MORGAN TERRITORY BREWING,CRAFT,*
476,FOOD MAXX,2509359476,,MORGAN TERRITORY MOON TIME HAZY IPA 4/16C,MORGAN TERRITORY BREWING,CRAFT,*
476,FOOD MAXX,2509359472,,MORGAN TERRITORY MOTORBOATIN  IPA 4/16C,MORGAN TERRITORY BREWING,CRAFT,*
476,FOOD MAXX,85805900452,,MOTHER EARTH CALI COMBO 12/12C,MOTHER EARTH BREWING,CRAFT,*
476,FOOD MAXX,1820025013,,NATTY DADDY LAGER 1/25C,ANHEUSER-BUSCH INBEV,ECONOMY,*
476,FOOD MAXX,1820000964,,NATURAL ICE 12/12C,ANHEUSER-BUSCH INBEV,ECONOMY,Yes
476,FOOD MAXX,1820027030,,NATURAL ICE 30/12C,ANHEUSER-BUSCH INBEV,ECONOMY,Yes
476,FOOD MAXX,1820015047,,NATURAL LIGHT 12/12C,ANHEUSER-BUSCH INBEV,ECONOMY,Yes
476,FOOD MAXX,1820015030,,NATURAL LIGHT 30/12C,ANHEUSER-BUSCH INBEV,ECONOMY,Yes
476,FOOD MAXX,1820026298,,NEON BURST HARD DRINKS GRAPE BLOWOUT 1/25C,ANHEUSER-BUSCH INBEV,FMB,*
476,FOOD MAXX,75452700022,,NEW BELGIUM FAT TIRE AMBER ALE 6/12B,NEW BELGIUM BREWING COMPANY,CRAFT,*
476,FOOD MAXX,75452701207,,NEW BELGIUM VOODOO RANGER FRUIT FORCE 1/19.2,NEW BELGIUM BREWING COMPANY,CRAFT,*
476,FOOD MAXX,75452701220,,NEW BELGIUM VOODOO RANGER FRUIT FORCE 6/12C,NEW BELGIUM BREWING COMPANY,CRAFT,Yes
476,FOOD MAXX,75452700421,,NEW BELGIUM VOODOO RANGER IMPERIAL IPA  6/12B,NEW BELGIUM BREWING COMPANY,CRAFT,Yes
476,FOOD MAXX,75452701021,,NEW BELGIUM VOODOO RANGER IMPERIAL IPA 1/19.2C,NEW BELGIUM BREWING COMPANY,CRAFT,Yes
476,FOOD MAXX,75452700905,,NEW BELGIUM VOODOO RANGER IPA 1/19.2C,NEW BELGIUM BREWING COMPANY,CRAFT,*
476,FOOD MAXX,75452701202,,NEW BELGIUM VOODOO RANGER JUICE FORCE 12/12C,NEW BELGIUM BREWING COMPANY,CRAFT,Yes
476,FOOD MAXX,75452701171,,NEW BELGIUM VOODOO RANGER JUICE FORCE HAZY IMPERIAL IPA 1/19.2C,NEW BELGIUM BREWING COMPANY,CRAFT,*
476,FOOD MAXX,75452700885,,NEW BELGIUM VOODOO RANGER JUICY HAZE IPA 6/12B,NEW BELGIUM BREWING COMPANY,CRAFT,*
